Mon Mar 30 2020 02:57:33 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Mon Mar 30 2020 02:57:33 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Mon Mar 30 2020 02:57:33 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Mon Mar 30 2020 02:57:33 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Mon Mar 30 2020 02:57:33 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Mon Mar 30 2020 03:00:39 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Mon Mar 30 2020 03:03:19 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Mon Mar 30 2020 03:04:03 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Mon Mar 30 2020 03:04:36 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Mon Mar 30 2020 03:04:51 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Mon Mar 30 2020 03:05:09 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
